sweep,segments,subfaults,stations,wall_s,wall_s_per_station,pairs,samples,useful_pct
fault,1,11,4,0.182,0.045,44,3104768,67.61
fault,2,44,4,0.660,0.165,176,13279232,66.20
fault,5,110,4,1.626,0.406,440,33968128,66.54
fault,11,249,4,3.843,0.961,988,79089664,65.67
fault,23,720,4,11.358,2.840,2836,237877568,63.32
fault,47,1679,4,27.188,6.797,6644,566069440,60.22
fault,94,4740,4,73.383,18.346,18740,1537770112,63.50
fault,189,7865,4,101.931,25.483,31160,2142104146,61.26
stations,47,1679,1,7.931,7.931,1661,167239680,48.20
stations,47,1679,2,14.027,7.014,3322,298138304,46.97
stations,47,1679,4,26.729,6.682,6644,566069440,60.22
stations,47,1679,8,56.840,7.105,13288,1194989696,57.13
stations,47,1679,16,108.738,6.796,26576,2260582536,61.15
