group,benchmark,parameter,median_ns,median_human,mean_ns,mad_ns,std_dev_ns,rel_mad,throughput_unit,throughput_per_sec
array,indexed_sum,,60060.5,60.061 us,60348.9,721.239,1171.3,0.0120,elements,1.091e+09
array,slice_sum,,60097.5,60.097 us,60296.3,739.416,1048.94,0.0123,elements,1.09e+09
fft,analysis,1024,18994.9,18.995 us,19160.3,433.014,559.414,0.0228,elements,5.391e+07
fft,analysis,16384,606323,606.323 us,608092,9457.03,9260.94,0.0156,elements,2.702e+07
fft,analysis,4096,82778.2,82.778 us,83480.3,1260.61,2093.18,0.0152,elements,4.948e+07
fft,analysis,65536,3.59265e+06,3.593 ms,3.59661e+06,34972.8,50938.4,0.0097,elements,1.824e+07
fft,synthesis,1024,18996.4,18.996 us,19131.7,438.24,561.6,0.0231,elements,5.391e+07
fft,synthesis,16384,605979,605.979 us,607233,9634.27,9977.45,0.0159,elements,2.704e+07
fft,synthesis,4096,82927.5,82.928 us,83329.4,825.421,1655.01,0.0100,elements,4.939e+07
fft,synthesis,65536,3.56528e+06,3.565 ms,3.57669e+06,47650.4,54957.7,0.0134,elements,1.838e+07
geom,subfault_geometry,16x7,15640.6,15.641 us,15662.2,333.97,308.604,0.0214,elements,7.161e+06
geom,subfault_geometry,257x11,389815,389.815 us,390214,7441.48,7002.01,0.0191,elements,7.252e+06
geom,subfault_geometry,2x2,840.301,840.301 ns,842.863,13.8234,13.3163,0.0165,elements,4.76e+06
radiation,horizontal_radiation_spectrum,nr1000,46885.7,46.886 us,46968.2,1005.14,1368.5,0.0214,elements,2.133e+04
radiation,radiation_pattern,,26.1792,26.179 ns,26.1546,0.418668,0.428305,0.0160,elements,3.82e+07
radiation,vertical_radiation_spectrum,nr1000,31882.3,31.882 us,31854.4,498.615,561.754,0.0156,elements,3.137e+04
ray,build_ray_path,,261.672,261.672 ns,290.863,117.96,102.275,0.4508,elements,3.822e+06
ray,cagniard_time,,187.684,187.684 ns,188.301,3.55145,4.29,0.0189,elements,5.328e+06
ray,cagniard_time_derivative,,248.142,248.142 ns,247.617,4.13084,4.77108,0.0166,elements,4.03e+06
ray,geometric_spreading,,98.4417,98.442 ns,98.2167,1.69496,1.49537,0.0172,elements,1.016e+07
ray,green_function,,9468.81,9.469 us,9583.4,251.938,374.689,0.0266,elements,1.056e+05
ray,stationary_ray_parameter,,6141.12,6.141 us,6147.8,119.243,122.329,0.0194,elements,1.628e+05
ray,travel_time,,247.606,247.606 ns,248.385,5.12176,5.92599,0.0207,elements,4.039e+06
ray,vertical_slowness,,10.2284,10.228 ns,10.2388,0.145781,0.164326,0.0143,elements,9.777e+07
rng,next_f32,,1.22164,1.222 ns,1.22381,0.0154706,0.0211575,0.0127,elements,8.186e+08
rng,next_u32,,0.985031,0.985 ns,0.988041,0.0158429,0.0281949,0.0161,elements,1.015e+09
rng,normal,1024,11837.6,11.838 us,11863.1,194.839,211.425,0.0165,elements,8.65e+07
rng,normal,4096,47427.4,47.427 us,47620.4,950.121,1010.91,0.0200,elements,8.636e+07
rng,normal,65536,752790,752.790 us,753553,10031,12015.1,0.0133,elements,8.706e+07
rng,uniform_deviates,1024,1670.86,1.671 us,1672.82,23.2976,26.0505,0.0139,elements,6.129e+08
rng,uniform_deviates,4096,6651.95,6.652 us,6650.77,109.202,103.907,0.0164,elements,6.158e+08
rng,uniform_deviates,65536,106057,106.057 us,106182,1614.35,1589.75,0.0152,elements,6.179e+08
spectrum,apply_radiation_and_invert,1024,21864.2,21.864 us,22065.8,278.604,460.29,0.0127,elements,4.683e+07
spectrum,apply_radiation_and_invert,16384,641404,641.404 us,641281,5316.37,5657.94,0.0083,elements,2.554e+07
spectrum,apply_radiation_and_invert,4096,92705.9,92.706 us,93096,1257.24,1136.88,0.0136,elements,4.418e+07
spectrum,apply_radiation_and_invert,65536,3.77501e+06,3.775 ms,3.77609e+06,31500.3,46037.8,0.0083,elements,1.736e+07
spectrum,apply_site_amplification,1024,6636.92,6.637 us,6493.92,151.381,271.549,0.0228,elements,1.543e+08
spectrum,apply_site_amplification,16384,98421.1,98.421 us,97849.8,1129.91,1693.63,0.0115,elements,1.665e+08
spectrum,apply_site_amplification,4096,24783.3,24.783 us,24595,348.115,539.661,0.0140,elements,1.653e+08
spectrum,apply_site_amplification,65536,388368,388.368 us,387400,1728.54,4980.92,0.0045,elements,1.687e+08
spectrum,remove_quadratic_trend,1024,3210.98,3.211 us,3204.42,11.4608,52.1541,0.0036,elements,3.189e+08
spectrum,remove_quadratic_trend,16384,51415.3,51.415 us,51600.7,795.257,1031.75,0.0155,elements,3.187e+08
spectrum,remove_quadratic_trend,4096,12823.2,12.823 us,12778.3,97.1746,224.893,0.0076,elements,3.194e+08
spectrum,remove_quadratic_trend,65536,205510,205.510 us,205005,2039.31,2855.5,0.0099,elements,3.189e+08
spectrum,site_amplification_factors,,569.3,569.300 ns,569.863,5.21891,6.38631,0.0092,elements,1.757e+06
spectrum,stochastic_spectrum,1024,63584.6,63.585 us,63801.3,677.695,845.756,0.0107,elements,1.61e+07
spectrum,stochastic_spectrum,16384,1.58515e+06,1.585 ms,1.58434e+06,16796.9,14301.2,0.0106,elements,1.034e+07
spectrum,stochastic_spectrum,4096,259246,259.246 us,260157,2787.51,4025.07,0.0108,elements,1.58e+07
spectrum,stochastic_spectrum,65536,7.09616e+06,7.096 ms,7.11047e+06,50215.2,85724.8,0.0071,elements,9.235e+06
whole_program,medium,112,7.45025e+08,745.025 ms,7.4424e+08,5.83648e+06,5.19626e+06,0.0078,,
whole_program,mini,4,1.62227e+07,16.223 ms,1.62606e+07,198370,162191,0.0122,,
