stratum,reported_km,component,endpoint,n_a,n_b,gm_ratio,ci_lo,ci_hi,half_width_ln,sd_ratio,ks,verdict
mini@27km,26.8361,090,PGA,2500,2500,1.006005,0.998011,1.014062,0.007978,0.9959,0.0268,certified
mini@27km,26.8361,090,PGV,2500,2500,1.005378,0.996619,1.014213,0.008750,1.0268,0.0224,certified
mini@27km,26.8361,090,AI,2500,2500,1.004442,0.993899,1.015097,0.010552,1.0059,0.0240,certified
mini@27km,26.8361,090,CAV,2500,2500,1.002182,0.997148,1.007240,0.005035,1.0107,0.0228,certified
mini@27km,26.8361,090,Ds575,2500,2500,0.996580,0.991580,1.001605,0.005030,1.0015,0.0280,certified
mini@27km,26.8361,090,Ds595,2500,2500,1.000563,0.997555,1.003580,0.003011,1.0309,0.0236,certified
mini@27km,26.8361,090,pSA(0.01),2500,2500,1.005890,0.997907,1.013937,0.007968,0.9961,0.0264,certified
mini@27km,26.8361,090,pSA(0.02),2500,2500,1.005677,0.997738,1.013680,0.007926,0.9958,0.0280,certified
mini@27km,26.8361,090,pSA(0.03),2500,2500,1.004430,0.996650,1.012270,0.007775,0.9985,0.0268,certified
mini@27km,26.8361,090,pSA(0.05),2500,2500,1.005777,0.998171,1.013441,0.007591,0.9951,0.0300,certified
mini@27km,26.8361,090,pSA(0.075),2500,2500,1.001780,0.993825,1.009797,0.007972,1.0037,0.0184,certified
mini@27km,26.8361,090,pSA(0.1),2500,2500,1.007580,0.998882,1.016352,0.008669,1.0312,0.0332,certified
mini@27km,26.8361,090,pSA(0.15),2500,2500,1.008784,0.999268,1.018390,0.009478,0.9719,0.0300,certified
mini@27km,26.8361,090,pSA(0.2),2500,2500,1.005720,0.995436,1.016111,0.010279,0.9888,0.0276,certified
mini@27km,26.8361,090,pSA(0.25),2500,2500,1.010989,1.000189,1.021907,0.010741,1.0059,0.0324,undetermined
mini@27km,26.8361,090,pSA(0.3),2500,2500,1.001777,0.990691,1.012988,0.011129,1.0045,0.0164,certified
mini@27km,26.8361,090,pSA(0.4),2500,2500,0.994114,0.982347,1.006021,0.011907,0.9924,0.0264,certified
mini@27km,26.8361,090,pSA(0.5),2500,2500,1.004082,0.991578,1.016744,0.012532,0.9940,0.0216,certified
mini@27km,26.8361,090,pSA(0.75),2500,2500,1.010440,0.996931,1.024132,0.013459,1.0258,0.0248,undetermined
mini@27km,26.8361,090,pSA(1),2500,2500,1.014264,1.000366,1.028355,0.013797,0.9933,0.0244,undetermined
mini@27km,26.8361,090,pSA(1.5),2500,2500,1.012739,0.998675,1.027001,0.013984,0.9812,0.0292,undetermined
mini@27km,26.8361,090,pSA(2),2500,2500,1.012217,0.998388,1.026238,0.013756,1.0264,0.0412,undetermined
mini@27km,26.8361,090,pSA(3),2500,2500,1.003300,0.990599,1.016163,0.012740,1.0186,0.0200,certified
mini@27km,26.8361,090,pSA(4),2500,2500,0.997553,0.985812,1.009433,0.011840,1.0066,0.0192,certified
mini@27km,26.8361,090,pSA(5),2500,2500,0.995790,0.984651,1.007056,0.011249,1.0057,0.0188,certified
mini@27km,26.8361,000,PGA,2500,2500,1.000887,0.992935,1.008902,0.007976,1.0151,0.0216,certified
mini@27km,26.8361,000,PGV,2500,2500,0.991184,0.982736,0.999705,0.008560,0.9757,0.0300,certified
mini@27km,26.8361,000,AI,2500,2500,0.997707,0.987312,1.008211,0.010473,1.0118,0.0308,certified
mini@27km,26.8361,000,CAV,2500,2500,0.998195,0.993247,1.003167,0.004969,1.0072,0.0308,certified
mini@27km,26.8361,000,Ds575,2500,2500,1.000072,0.995033,1.005136,0.005051,1.0306,0.0224,certified
mini@27km,26.8361,000,Ds595,2500,2500,0.998383,0.995397,1.001377,0.002995,1.0407,0.0308,certified
