stratum,component,bands,max_abs_delta_rho,permutation_p,holm_adjusted_p,verdict
mini@27km,090,30,0.273533,0.0050,0.0746,ok
mini@27km,000,30,0.165610,0.7811,1.0000,ok
mini@27km,ver,30,0.206800,0.1244,1.0000,ok
mini@48km,090,30,0.173582,0.5721,1.0000,ok
mini@48km,000,30,0.142077,0.9801,1.0000,ok
mini@48km,ver,30,0.165719,0.7264,1.0000,ok
mini@85km,090,30,0.241217,0.0199,0.2587,ok
mini@85km,000,30,0.195731,0.2090,1.0000,ok
mini@85km,ver,30,0.180398,0.4577,1.0000,ok
mini@133km,090,30,0.177605,0.5572,1.0000,ok
mini@133km,000,30,0.242829,0.0100,0.1393,ok
mini@133km,ver,30,0.162804,0.7313,1.0000,ok
mini@153km,090,30,0.171580,0.6070,1.0000,ok
mini@153km,000,30,0.217706,0.0348,0.4179,ok
mini@153km,ver,30,0.166123,0.7015,1.0000,ok
