stratum,component,bands,max_abs_delta_rho,permutation_p,holm_adjusted_p,verdict
mini@27km,090,30,0.176337,0.4726,1.0000,ok
mini@27km,000,30,0.198133,0.1642,1.0000,ok
mini@27km,ver,30,0.196669,0.1940,1.0000,ok
mini@48km,090,30,0.173542,0.5821,1.0000,ok
mini@48km,000,30,0.164308,0.7662,1.0000,ok
mini@48km,ver,30,0.205652,0.1294,1.0000,ok
mini@85km,090,30,0.157571,0.9154,1.0000,ok
mini@85km,000,30,0.208241,0.1194,1.0000,ok
mini@85km,ver,30,0.207661,0.0945,1.0000,ok
mini@133km,090,30,0.166637,0.6915,1.0000,ok
mini@133km,000,30,0.192897,0.3035,1.0000,ok
mini@133km,ver,30,0.214649,0.0697,1.0000,ok
mini@153km,090,30,0.196589,0.1891,1.0000,ok
mini@153km,000,30,0.173098,0.5721,1.0000,ok
mini@153km,ver,30,0.171448,0.6766,1.0000,ok
